{'light': 'red', 'oncoming': None, 'right': None, 'left': None},21,19,set(['red', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},20,20,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},19,21,set(['green', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},18,22,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},17,23,set([None, 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},16,24,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},15,25,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},14,26,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},13,27,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},12,28,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},11,29,set(['right', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},10,30,set(['green', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},9,31,set([None, 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},8,32,set(['green', None]),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},7,33,set(['green', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},6,34,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},5,35,set(['red', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},4,36,set(['green', None]),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},3,37,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},2,38,set(['green', None]),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},1,39,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},0,40,set(['right', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},30,0,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},29,1,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},28,2,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},27,3,set(['red', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},26,4,set(['green', None]),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},25,0,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},24,1,set(['green', None]),False
{'light': 'green', 'oncoming': None, 'right': 'forward', 'left': None},23,2,set(['green', None]),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},22,3,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},21,4,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},20,5,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},19,6,set(['green', None]),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},18,7,set(['right', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},17,8,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},16,9,set(['red', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},15,10,set(['green', None]),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},14,11,set(['right', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},13,12,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},12,13,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},11,14,set(['forward', 'red']),False
