20,red,None,None,None,left,-1
19,red,None,None,None,None,1
18,red,None,None,None,None,1
17,red,None,None,None,left,-1
16,red,None,None,None,None,1
15,green,None,None,None,forward,0.5
14,green,None,None,None,None,1
13,green,None,None,None,left,0.5
12,red,None,None,None,None,1
11,green,None,None,None,None,1
10,green,None,None,None,None,1
9,green,None,None,None,None,1
8,red,None,None,None,None,1
7,red,None,None,None,None,1
6,red,None,None,None,None,1
5,green,None,None,None,None,1
4,green,None,None,None,None,1
3,green,None,None,None,None,1
2,red,None,right,None,None,1
1,red,None,None,None,None,1
0,red,None,None,None,None,1
35,green,None,None,None,right,0.5
34,red,None,None,None,right,0.5
33,red,None,None,None,None,1
32,red,None,None,None,None,1
31,red,None,None,None,None,1
30,green,None,None,None,None,1
29,green,None,None,None,None,1
28,green,None,None,None,None,1
27,green,None,None,None,None,1
26,green,None,None,None,None,1
25,red,None,None,None,None,1
24,red,None,None,None,None,1
23,red,None,None,None,None,1
22,red,None,None,None,None,1
21,red,None,None,None,None,1
20,green,None,None,None,None,1
19,green,None,None,None,None,1
18,green,None,None,None,None,1
17,green,None,None,None,None,1
16,green,None,None,None,None,1
15,red,None,None,None,None,1
14,red,None,None,None,None,1
13,red,None,None,None,right,0.5
12,red,None,None,None,None,1
11,green,None,None,None,forward,0.5
10,red,None,None,None,None,1
9,red,None,None,None,None,1
8,red,None,None,None,None,1
7,red,None,None,None,None,1
6,red,None,None,None,None,1
5,green,None,None,None,None,1
4,green,None,None,None,left,2
3,red,None,None,None,None,1
2,green,None,None,None,None,1
1,green,None,None,None,None,1
0,green,None,None,None,None,1
25,red,None,None,None,None,1
24,red,None,None,None,None,1
23,red,None,None,None,None,1
22,red,None,None,None,None,1
21,green,None,None,None,None,1
20,green,None,None,None,None,1
19,green,None,None,None,None,1
18,green,None,None,None,forward,2
17,red,None,None,None,None,1
16,red,None,None,None,None,1
15,red,None,None,None,None,1
14,red,None,None,None,None,1
13,green,None,None,None,right,0.5
12,red,None,None,None,None,1
11,red,None,None,None,None,1
10,red,None,None,None,None,1
9,green,None,None,None,left,2
8,green,None,None,None,forward,2
7,red,None,None,None,None,1
6,red,None,None,None,None,1
5,green,None,None,None,left,2
4,green,None,None,None,forward,2
3,green,None,None,None,forward,12
30,green,None,None,None,None,1
29,green,None,None,None,None,1
28,green,None,None,None,None,1
27,green,None,None,None,None,1
26,green,None,None,None,None,1
25,red,None,left,None,None,1
24,red,None,None,None,None,1
23,red,None,None,None,None,1
22,red,None,None,None,None,1
21,red,None,None,None,None,1
20,green,None,None,None,None,1
19,green,None,None,None,None,1
18,green,None,None,None,None,1
