{'light': 'red', 'oncoming': None, 'right': None, 'left': None},22,8,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},21,9,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},20,10,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},19,11,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},20,0,set(['right', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},19,1,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},18,2,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},17,3,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},25,0,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},24,1,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},23,2,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},22,3,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},21,4,set(['red', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},20,5,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},19,6,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},18,7,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},17,8,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},16,9,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},15,10,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},20,0,set(['green', 'left']),False
{'light': 'red', 'oncoming': None, 'right': 'forward', 'left': None},19,1,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},18,2,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},17,3,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},16,4,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},15,5,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},14,6,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},30,0,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},29,1,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},28,2,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},27,3,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},26,4,set(['red', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},25,5,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},24,6,set(['forward', 'green']),False
{'light': 'green', 'oncoming': 'forward', 'right': None, 'left': None},23,7,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},22,8,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},21,9,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},20,10,set(['green', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},25,0,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},24,1,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},23,2,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},22,3,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},21,4,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},20,5,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},19,6,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},18,7,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},17,8,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},16,9,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},15,10,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': 'right'},14,11,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},13,12,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},12,13,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},11,14,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},10,15,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},9,16,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},8,17,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},7,18,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},6,19,set(['red', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},5,20,set(['green', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},25,0,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},24,1,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},23,2,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},22,3,set(['red', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},21,4,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},20,5,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},19,6,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},18,7,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},17,8,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},45,0,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},44,1,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},43,2,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},42,3,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},41,4,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},40,5,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},39,6,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},38,7,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},37,8,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},36,9,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},35,10,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},34,11,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},33,12,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},32,13,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},31,14,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},30,15,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},29,16,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},28,17,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': 'left', 'left': None},27,18,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},50,0,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},49,1,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},48,2,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},47,3,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},46,4,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},45,5,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},44,6,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},43,7,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},42,8,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},41,9,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},40,10,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},39,11,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},38,12,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},37,13,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},36,14,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},35,15,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},34,16,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},33,17,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},32,18,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},31,19,set(['red', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},30,20,set(['green', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},29,21,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},28,22,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},27,23,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},26,24,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},25,25,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},24,26,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},23,27,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},22,28,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},21,29,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},20,30,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},19,31,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},30,0,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},29,1,set(['right', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},28,2,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},27,3,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},26,4,set(['red', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},25,5,set(['green', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},24,6,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},23,7,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},22,8,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},21,9,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': 'right', 'left': None},20,10,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},19,11,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},18,12,set(['forward', 'green']),False
