None,None,None,left,green,left,2.0,0,False
None,None,None,forward,red,forward,-1.0,1,False
None,None,None,forward,red,forward,-1.0,2,False
None,None,None,forward,red,forward,-1.0,3,False
None,None,None,forward,red,forward,-1.0,4,False
left,None,None,forward,green,forward,2.0,5,False
None,None,None,forward,green,forward,2.0,6,False
None,None,None,forward,green,forward,2.0,7,False
None,None,None,forward,green,forward,2.0,8,False
None,None,None,forward,green,forward,12.0,9,True
None,None,None,right,red,right,2.0,0,False
None,None,None,forward,green,forward,2.0,1,False
None,None,None,forward,green,forward,2.0,2,False
None,None,None,forward,red,forward,-1.0,3,False
None,None,None,forward,green,forward,2.0,4,False
left,None,None,right,green,right,2.0,5,False
None,None,None,forward,green,forward,2.0,6,False
None,None,None,forward,red,forward,-1.0,7,False
None,None,None,forward,red,forward,-1.0,8,False
None,left,None,forward,red,forward,-1.0,9,False
None,left,None,forward,green,forward,2.0,10,False
None,None,None,forward,red,forward,-1.0,11,False
None,None,None,forward,green,forward,12.0,12,True
None,None,None,forward,green,forward,2.0,0,False
None,None,None,forward,red,forward,-1.0,1,False
None,None,None,forward,red,forward,-1.0,2,False
None,None,None,forward,red,forward,-1.0,3,False
None,None,None,forward,green,forward,2.0,4,False
None,None,None,forward,green,forward,2.0,5,False
None,None,None,left,red,left,-1.0,6,False
None,None,None,left,red,left,-1.0,7,False
None,None,None,left,red,left,-1.0,8,False
None,None,None,left,red,left,-1.0,9,False
None,None,None,left,green,left,2.0,10,False
None,None,None,forward,green,forward,2.0,11,False
None,None,None,forward,red,forward,-1.0,12,False
None,None,None,forward,red,forward,-1.0,13,False
None,None,None,forward,red,forward,-1.0,14,False
None,None,None,forward,green,forward,12.0,15,True
None,None,None,forward,red,forward,-1.0,0,False
None,None,None,forward,red,forward,-1.0,1,False
None,None,None,forward,red,forward,-1.0,2,False
None,None,None,forward,red,forward,-1.0,3,False
None,None,None,forward,green,forward,2.0,4,False
None,None,None,right,green,right,2.0,5,False
None,None,None,forward,red,forward,-1.0,6,False
None,None,None,forward,red,forward,-1.0,7,False
None,None,None,forward,red,forward,-1.0,8,False
