{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-40,70,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-41,71,set(['red', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-42,72,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-43,73,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-44,74,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-45,75,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-46,76,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-47,77,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-48,78,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-49,79,set(['red', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-50,80,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-51,81,set(['green', None]),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-52,82,set(['right', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-53,83,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-54,84,set(['red', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-55,85,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': 'right'},-56,86,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-57,87,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-58,88,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-59,89,set([None, 'red']),False
{'light': 'red', 'oncoming': 'right', 'right': None, 'left': None},-60,90,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-61,91,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-62,92,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-63,93,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-64,94,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-65,95,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-66,96,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-67,97,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-68,98,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-69,99,set(['red', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-70,100,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-71,101,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-72,102,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-73,103,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-74,104,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-75,105,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-76,106,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-77,107,set(['red', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-78,108,set(['green', None]),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-79,109,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-80,110,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-81,111,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-82,112,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-83,113,set(['green', 'left']),False
{'light': 'green', 'oncoming': 'forward', 'right': None, 'left': None},-84,114,set(['green', None]),False
{'light': 'red', 'oncoming': 'forward', 'right': None, 'left': None},-85,115,set(['right', 'red']),False
{'light': 'red', 'oncoming': 'forward', 'right': None, 'left': None},-86,116,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-87,117,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-88,118,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-89,119,set(['red', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-90,120,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-91,121,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-92,122,set(['green', None]),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-93,123,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-94,124,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-95,125,set(['red', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-96,126,set(['green', None]),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-97,127,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-98,128,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-99,129,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-100,130,set(['green', None]),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},20,0,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},19,1,set(['green', None]),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},18,2,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': 'forward', 'left': None},17,3,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},16,4,set(['right', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},15,5,set([None, 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},14,6,set(['green', None]),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},13,7,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},12,8,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},11,9,set(['green', None]),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},10,10,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},9,11,set([None, 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},8,12,set(['green', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},7,13,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},6,14,set([None, 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},5,15,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},4,16,set(['green', None]),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},3,17,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},2,18,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},1,19,set([None, 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},0,20,set(['right', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-1,21,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-2,22,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-3,23,set(['right', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-4,24,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-5,25,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},-6,26,set(['green', None]),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-7,27,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-8,28,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-9,29,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},-10,30,set(['right', 'red']),False
